parameter,count,mean,std,observed_min,observed_max,q01,q05,q50,q95,q99,iqr,soft_window_min,soft_window_max,hard_window_min,hard_window_max,tukey_low_fence,tukey_high_fence,zero_pct,negative_pct,fence_outlier_pct,delta_p95,delta_p99,jump_spike_pct,max_zero_run,max_flat_run
вес_на_крюке,712123,35.0466259095191,23.446342515016664,0.0,117.5170211791992,0.0,0.443249106407166,44.4432601928711,76.47978210449219,87.3386154174805,36.4946222305298,0.443249106407166,76.47978210449219,0.0,87.3386154174805,-98.2854499816895,157.1769056320191,2.099075581044286,0.0,0.0,2.2335853576660014,11.792016315460073,1.0001305983510904,4063,4063
глубина,712123,2900.92760574,758.345706725264,796.489990234375,3517.379150390625,796.489990234375,796.489990234375,3138.39819335938,3489.70556640625,3503.75927734375,56.190429687495,796.489990234375,3489.70556640625,796.489990234375,3503.75927734375,2932.564697265645,3325.89770507811,0.0,0.0,32.39384207503479,0.01025390625,0.028564453125227374,0.9949347499743718,0,18748
давление_на_входе,712123,154.57566391833703,118.77251947707661,-39.96539688110352,335.848571777344,-0.0783832147717476,-0.0493524260818958,238.859512329102,262.571838378906,314.6529846191406,250.529876708984,-0.0493524260818958,262.571838378906,-0.0783832147717476,314.6529846191406,-751.589630126952,1002.119506835936,12.144671636781847,17.596398374999826,0.0,3.5707855224610228,9.736983795166015,1.0001305983510904,6337,6337
дмк,712123,30.867815629888426,48.05946321840604,0.0,237.54718017578125,0.0,0.0,0.0,128.063537597656,211.259826660156,55.5517692565918,0.0,128.063537597656,0.0,211.259826660156,-166.6553077697754,222.2070770263672,61.57658157368881,0.0,0.45778608470727666,0.0,0.0,0.4736647722884342,18748,18748
момент_ротора,712123,1.028606574410135,1.7865494412915086,-1.56502497196198,18.928131103515625,-1.05335462093353,-0.583370447158813,0.0,3.18080472946167,7.994955062866211,2.25031757354736,-0.583370447158813,3.18080472946167,-1.05335462093353,7.994955062866211,-6.750952720642081,9.00127029418944,28.887706196822737,21.429163220398724,0.03496586966015702,0.3597261905670104,0.6000810861587502,0.9999901700165845,54617,54617
нагрузка,712123,3.797150853509802,4.382517470660403,-12.458471298217772,46.61433792114258,0.0,0.0,3.105977773666382,13.050329208374,16.4433288574219,6.0938286781311,0.0,13.050329208374,0.0,16.4433288574219,-18.2814860343933,24.3753147125244,41.528780842635335,0.44486696820633514,0.011936140245435128,1.7050249576568604,3.3418483734131,0.9998497416820786,18748,18748
обороты_ротора,712123,12.014341428822886,15.193101650572737,-9.187278747558594,67.0,-0.4487698048353197,0.0,0.0,32.81724739074707,40.380378723144524,30.0,0.0,32.81724739074707,-0.4487698048353197,40.380378723144524,-90.0,120.0,55.91491919233054,3.7853011347758745,0.0,0.012451305985451008,1.400522607453097,1.0001305983510904,54617,54617
расход_на_входе,712123,9.265393342580525,6.8241744663012325,-11.5051898956299,34.05351638793945,-0.317604035139084,-0.229566290974617,13.7422361373901,15.183632850647,15.4052505493164,14.5581159591675,-0.229566290974617,15.183632850647,-0.317604035139084,15.4052505493164,-43.6743478775025,58.23246383667,14.051083871746876,13.194630702842064,0.0,0.12608768939971943,0.9593334197997798,0.9997093133475727,6765,6897
скорость_бурения,712123,0.5225174987013769,1.3710203778263519,0.0,42.76470565795898,0.0,0.0,0.0,2.22451090812683,6.49649477005005,0.624349653720856,0.0,2.22451090812683,0.0,6.49649477005005,-1.873048961162568,2.497398614883424,64.06224767350585,0.0,3.493497612069825,0.497409291565418,1.290464401245117,0.9999901700165845,18748,18748
скорость_спо,682333,0.0140208820467826,0.08603610591908474,0.0,1.74939060211182,0.0,0.0,0.0,0.0,0.536263763904572,0.0,0.0,0.0,0.0,0.536263763904572,0.0,0.0,95.15764296904884,0.0,4.842357030951163,9.356439113071893e-06,0.1472596815228461,1.0001187128014903,12606,12606
температура_на_выходе,712123,-96.54319240114238,19975.6937710019,-3550642.0,45.1276779174805,-7.462760763168335,0.0,37.69158172607422,44.6237945556641,44.9917755126953,32.0861129760742,0.0,44.6237945556641,-7.462760763168335,44.9917755126953,-85.2583389282226,139.3444519042968,10.337961279161044,3.909998694045832,0.004634030918815991,0.1452083587645987,0.4149415588378784,1.0001305983510904,25830,25830
уровень_в_емкости,712123,4.253888793053591,375.5166569794566,0.029616503044963,121920.625,0.7505037844181061,0.8899226248264308,1.24339771270752,1.584857821464539,1.7044119191169715,0.1553614735603368,0.8899226248264308,1.584857821464539,0.7505037844181061,1.7044119191169715,0.7236623167991496,1.8111926317215072,0.0,0.0,1.1226993089676922,0.0036143064498901367,0.01122605562210052,1.0001305983510904,0,435
